,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,mean_test_score,std_test_score,rank_test_score
54,0.0014003157615661622,0.000489692291059121,0.0017003536224365235,0.0004582506721016606,auto,40,4,uniform,"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 4, 'weights': 'uniform'}",0.6521739130434783,0.7391304347826086,0.6086956521739131,0.5652173913043478,0.8695652173913043,0.6521739130434783,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.7391304347826086,0.782608695652174,0.6521739130434783,0.782608695652174,0.782608695652174,0.6956521739130435,0.782608695652174,0.6521739130434783,0.6956521739130435,0.7391304347826086,0.5652173913043478,0.6934782608695652,0.08072802012011801,161
148,0.0012001395225524902,0.0004002454541816888,0.0017005324363708497,0.000557046815752417,ball_tree,50,3,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 50, 'n_neighbors': 3, 'weights': 'uniform'}",0.5652173913043478,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.8260869565217391,0.6086956521739131,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.782608695652174,0.7391304347826086,0.782608695652174,0.7391304347826086,0.6956521739130435,0.7391304347826086,0.6086956521739131,0.6934782608695652,0.07074408737075208,161
310,0.0012002706527709961,0.00040006053670798273,0.001400327682495117,0.0004899744470995503,brute,50,4,uniform,"{'algorithm': 'brute', 'leaf_size': 50, 'n_neighbors': 4, 'weights': 'uniform'}",0.6521739130434783,0.7391304347826086,0.6086956521739131,0.5652173913043478,0.8695652173913043,0.6521739130434783,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.7391304347826086,0.782608695652174,0.6521739130434783,0.782608695652174,0.782608695652174,0.6956521739130435,0.782608695652174,0.6521739130434783,0.6956521739130435,0.7391304347826086,0.5652173913043478,0.6934782608695652,0.08072802012011801,161
308,0.0012502551078796386,0.00043322228723706435,0.0017504453659057616,0.000433229139171972,brute,50,3,uniform,"{'algorithm': 'brute', 'leaf_size': 50, 'n_neighbors': 3, 'weights': 'uniform'}",0.5652173913043478,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.8260869565217391,0.6086956521739131,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.782608695652174,0.7391304347826086,0.782608695652174,0.7391304347826086,0.6956521739130435,0.7391304347826086,0.6086956521739131,0.6934782608695652,0.07074408737075208,161
4,0.0016502976417541505,0.000477266489554233,0.0014505624771118165,0.0004976446864713998,auto,10,3,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",0.5652173913043478,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.8260869565217391,0.6086956521739131,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.782608695652174,0.7391304347826086,0.782608695652174,0.7391304347826086,0.6956521739130435,0.7391304347826086,0.6086956521739131,0.6934782608695652,0.07074408737075208,161
68,0.0017500758171081544,0.0004331539525403198,0.0012506008148193359,0.00043321589017399737,auto,50,3,uniform,"{'algorithm': 'auto', 'leaf_size': 50, 'n_neighbors': 3, 'weights': 'uniform'}",0.5652173913043478,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.8260869565217391,0.6086956521739131,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.782608695652174,0.7391304347826086,0.782608695652174,0.7391304347826086,0.6956521739130435,0.7391304347826086,0.6086956521739131,0.6934782608695652,0.07074408737075208,161
164,0.0015504240989685058,0.0004975357415347959,0.0014502406120300293,0.0004975764494010908,kd_tree,10,3,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",0.5652173913043478,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.8260869565217391,0.6086956521739131,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.782608695652174,0.7391304347826086,0.782608695652174,0.7391304347826086,0.6956521739130435,0.7391304347826086,0.6086956521739131,0.6934782608695652,0.07074408737075208,161
70,0.0010001063346862793,6.072657407259954e-07,0.0020005464553833007,5.786257314449118e-07,auto,50,4,uniform,"{'algorithm': 'auto', 'leaf_size': 50, 'n_neighbors': 4, 'weights': 'uniform'}",0.6521739130434783,0.7391304347826086,0.6086956521739131,0.5652173913043478,0.8695652173913043,0.6521739130434783,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.7391304347826086,0.782608695652174,0.6521739130434783,0.782608695652174,0.782608695652174,0.6956521739130435,0.782608695652174,0.6521739130434783,0.6956521739130435,0.7391304347826086,0.5652173913043478,0.6934782608695652,0.08072802012011801,161
84,0.001400589942932129,0.0004898579741587324,0.001250016689300537,0.00043311258116404124,ball_tree,10,3,uniform,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'}",0.5652173913043478,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.8260869565217391,0.6086956521739131,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.782608695652174,0.7391304347826086,0.782608695652174,0.7391304347826086,0.6956521739130435,0.7391304347826086,0.6086956521739131,0.6934782608695652,0.07074408737075208,161
294,0.0011502623558044434,0.000357100785581217,0.0016503691673278808,0.00047716880991966273,brute,40,4,uniform,"{'algorithm': 'brute', 'leaf_size': 40, 'n_neighbors': 4, 'weights': 'uniform'}",0.6521739130434783,0.7391304347826086,0.6086956521739131,0.5652173913043478,0.8695652173913043,0.6521739130434783,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.7391304347826086,0.782608695652174,0.6521739130434783,0.782608695652174,0.782608695652174,0.6956521739130435,0.782608695652174,0.6521739130434783,0.6956521739130435,0.7391304347826086,0.5652173913043478,0.6934782608695652,0.08072802012011801,161
